board_id,address,location_note,lat,lng
11-5,上草柳１−１−１,大和スポーツセンター南側,35.470858,139.4614358
11-6,中央３−６−１,草柳小学校南側フェンス,35.4679642,139.4587867
11-7,中央３−６−１,草柳小学校東側正門横,35.468271,139.4590808
11-8,中央３−８,中央４号公園南側,35.468952,139.4598713
12-1,南林間２−１１,南林間駅派出所裏ロータリー南側,35.4920783,139.449776
12-2,南林間２−１１,南林間駅派出所裏ロータリー北側,35.4921438,139.4497277
12-3,南林間２−１４−１,高座教会東側,35.4932568,139.4486614
12-4,南林間２−１４−１,高座教会北側,35.49375,139.4481256
12-5,南林間２−１９,南林間中央公園北側,35.4921569,139.4473754
12-6,南林間２−１９,南林間中央公園西側,35.4917423,139.4474183
12-7,南林間４−９,南林間四丁目公園南側,35.4886173,139.4475094
12-8,南林間２−１９,南林間タイムズ８駐車場フェンス,35.4915677,139.4484525
13-1,西鶴間３−５,緑の広場２７号東側,35.4845695,139.4551562
13-2,西鶴間４−２,慰霊塔公園東側,35.4829457,139.4524908
13-3,上草柳７−１０,上草柳七丁目児童遊園,35.4817213,139.4544592
13-4,上草柳７−４−２６,大野原小学校西側正門横,35.4805286,139.4555606
13-5,上草柳７−４−２６,大野原小学校東側,35.4809102,139.4570036
13-6,上草柳６−１２,大野１号公園北側,35.4764839,139.4540573
13-7,上草柳５−３−１１,コミュニティーセンター上草柳会館西側の歩道フェンス,35.4762613,139.4561739
13-8,上草柳５−３−１１,コミュニティーセンター上草柳会館南側,35.4762133,139.4565597
14-1,大和南１−８,やまとプロムナード　シリウス北側のフェンス,35.4666593,139.4684713
14-2,大和南２−１１−１,光丘中学校北側正門横,35.4625014,139.4683915
14-3,大和南２−１１−１,光丘中学校東側,35.4618429,139.468943
14-4,大和南２−１１−１,光丘中学校南側,35.4609,139.4688143
14-5,深見３６１５−３,大和大塚戸共同住宅東側,35.4599423,139.4745959
14-6,深見３９２３,株式会社サステム国道４６７号沿フェンス,35.4587683,139.4705182
14-7,深見３７０７,かしま１号公園東側,35.4582751,139.4754372
15-1,西鶴間２−２６,西鶴間２号公園東側,35.4844797,139.4499314
15-2,西鶴間２−２５−４３,西鶴間小学校東側正門横,35.4845408,139.4488972
15-3,西鶴間２−２５−４３,西鶴間小学校南側,35.4840681,139.4486764
15-4,西鶴間６−３１,西鶴間３号公園東側,35.4855049,139.4445955
15-5,西鶴間８−４−２０,若草保育園北側,35.4820399,139.4434799
15-6,西鶴間８−１,サンホーム鶴間東側,35.4808659,139.4449159
15-7,西鶴間６−２４,西鶴間六丁目２号児童遊園,35.4822931,139.4444337
16-1,深見西１−５−２,株式会社ＡＰＪ正門横,35.4738535,139.4609926
16-2,深見西１−３−１７,ベテルギウス　公園（ミニバス広場）前,35.4731276,139.4645496
16-3,深見西１−３−１７,ベテルギウス  駐車場フェンス,35.4726412,139.464715
16-4,深見西１−２−２４,ＮＴＴ大和営業所ビル南側,35.4713915,139.4646691
16-5,深見西１−１−３７,キョーラク株式会社技術研究本部,35.4712552,139.4623521
16-6,大和東２−４,大和東公園南側,35.468798,139.4644043
16-7,大和東２−４−３,ビッグ・バン前の線路沿いフェンス,35.4687805,139.4635845
16-8,大和東１−１１,やまとプロムナード交差点先,35.4665066,139.4692322
17-1,柳橋４−５０５０,引地台中学校西側正門横,35.4544081,139.4644418
17-2,柳橋２−１７,柳橋１号公園東側,35.4547966,139.4671371
17-3,柳橋５−９,環境管理センター前交差点横の引地川沿い植栽,35.4514562,139.4595772
17-4,柳橋２−１１,大和市まごころ地域福祉センター,35.4530638,139.4668424
17-5,柳橋３−４,さくら公園東側,35.4519203,139.4681445
17-6,柳橋３−１８−２,県営ハイム桜ケ丘第１集会所南側,35.4508118,139.4668049
17-7,柳橋３−１６,県営ハイム桜ケ丘１２号棟南側,35.4497817,139.4656635
18-1,代官３−１１−１,代官三丁目公園東側,35.4374738,139.4587566
18-2,福田３７５５−１２,田中３号公園東側,35.4348725,139.4615858
18-3,福田３６１９,田中４号公園東側,35.4337726,139.4609857
18-4,渋谷５−１１,渋谷１号公園,35.4318915,139.4665637
18-5,渋谷５−１００−３２,高座渋谷駅西口 ロータリー  （バス停横）,35.4288756,139.4675336
18-6,渋谷５−３５,渋谷３号公園,35.4298315,139.4656153
18-7,渋谷８−８,渋谷４号公園,35.4272171,139.4669174
18-8,福田３７１６,民家（フェンス）,35.4320312,139.4618752
19-1,下鶴間１８２６−３,坂上公園西側,35.4970626,139.4607445
19-2,下鶴間１８４５,パセオクレスト（アパート）西側畑,35.4974903,139.4639006
19-3,下鶴間１９３８,鶴林寺南側,35.4975689,139.4660654
19-4,下鶴間１９４５,目黒川沿いの柵,35.4989874,139.465685
19-5,下鶴間２１１４,目黒川沿いの柵（南側）,35.4981958,139.4670825
19-6,下鶴間２３２９−１近辺,さがみ水産の南側の川沿いフェンス,35.496148,139.4670908
19-7,下鶴間２５１６−２,コミュニティーセンター下鶴間会館横,35.4944919,139.4661619
20-1,上和田２４１２,上和田団地入口バス停前,35.4330874,139.4748317
20-2,上和田２４１２,上和田団地２−４号棟西側,35.4347721,139.4748746
20-3,上和田２４１２,上和田東児童館前,35.4355534,139.4759623
20-4,上和田３２２１,上和田保育園,35.4337246,139.4751853
20-5,上和田２４１２,上和田団地４−８号棟北側,35.4374956,139.4777252
20-6,上和田２４１２,上和田団地バス停前公園,35.4354748,139.4778485
20-7,上和田３３４０,上和田団地汚水処理場横ガードレール,35.4324327,139.4752121
21-1,渋谷１−１４,旭ヶ丘1号公園西側,35.4358676,139.4683909
21-2,渋谷１−１４,旭ヶ丘1号公園東側,35.435824,139.468975
21-3,上和田１８２２,平田自動車工業株式会社本部フェンス,35.4402234,139.4697305
21-4,上和田３２９０,上和田団地給水塔横の空き地フェンス,35.4344318,139.4746874
21-5,上和田２４１２,上和田団地１−１号棟北側フェンス（コンビニ向い）,35.433489,139.4743387
21-6,上和田２６９５,上和田小学校南側正門横,35.4373353,139.4729687
21-7,上和田２６９５,上和田小学校北側,35.4379489,139.473658
22-1,中央林間６−２６−７,コミュニティセンター中央林間会館入口南側,35.5087639,139.4500171
22-2,中央林間６−７−１３,中央林間幼稚園北側,35.5078386,139.4493312
22-3,中央林間６−６,コナミスポーツクラブ駐車場西側,35.5064114,139.4493259
22-4,中央林間６−６,コナミスポーツクラブ駐車場南側,35.5058659,139.4501778
22-5,中央林間４−２６,柿の木通り公園北側,35.5046744,139.4507083
22-6,中央林間４−１,中央林間東急駐車場北側,35.5034946,139.4488419
22-7,中央林間５−５,中央林間２号公園北側,35.507651,139.4454303
22-8,中央林間５−１７,多胡記念公園東側,35.5053879,139.4431433
23-1,南林間９−９−３７２２,南林間スポーツ広場,35.4912971,139.4392414
23-2,中央林間西２-３７８６-１８,シェア畑中央林間フェンス,35.4978832,139.4407739
23-3,南林間９−３−１,南林間中学校北門横,35.4941078,139.4386038
23-4,南林間９−３−１,南林間中学校東側正門横,35.4941777,139.440072
23-5,南林間９−３−２,南林間小学校東南角,35.4928072,139.4405971
23-6,南林間９−３−２,南林間小学校南側,35.4925322,139.4397344
23-7,中央林間西３−２,もちのき公園,35.4959141,139.4377849
24-1,下和田２２５,下和田マリンボックス南側柵,35.4271083,139.474725
24-2,下和田４９,渋谷中学校西側,35.4277583,139.475539
24-3,下和田４９,渋谷中学校南側,35.4270556,139.4759462
24-4,下和田２６２,いちょう団地２号公園西側,35.4259159,139.4757904
24-5,下和田２６２,いちょう団地８０号棟西側,35.4258336,139.4750735
24-6,下和田２６２,いちょう団地バス停前（７６号棟南）,35.4242696,139.4754779
24-7,下和田２６２,いちょう団地１号公園東側,35.4226008,139.4754319
25-1,福田３−１５−１,松ヶ丘公園西側,35.4434663,139.4676568
25-2,福田５−２２−１,福田小学校東側正門横,35.4408225,139.4655147
25-3,福田５−２２−１,福田小学校西側,35.4406205,139.4648345
25-4,代官１−２０,田中１号公園西側,35.4378971,139.4638095
25-5,代官２−３,代官二丁目公園南側,35.4390275,139.4607874
25-6,代官２−１４,代官中央公園南側,35.4371508,139.4601658
25-7,福田４−２０,イサミ運輸有限会社　隣の住宅の北側歩道フェンス,35.437225,139.46576
25-8,渋谷２−１９,札の辻２号公園南側,35.4339734,139.4668692
26-1,中央６−８−２７,草柳保育園北側,35.4593619,139.4622395
26-2,中央７−１０−６,中部学校給食共同調理場,35.4592091,139.4674157
26-3,草柳３−１−２,引地台小学校東側正門横,35.4563591,139.4632576
26-4,中央６−１２,引地台小学校北側歩道橋下,35.4568261,139.4625289
26-5,草柳３−１３,大和市環境管理センター西側,35.4533999,139.4602944
26-6,柳橋１−１７−７,柳橋小学校東側正門横,35.4571403,139.4659797
26-7,柳橋１−１１,柳橋２号公園,35.4562674,139.4692697
26-8,柳橋１−１８,柳橋３号公園,35.4570006,139.4665477
27-1,西鶴間４−９,西鶴間四丁目児童遊園東側,35.4819876,139.4507405
27-2,西鶴間五丁目3486地先,泉の森フェンス,35.4800192,139.4459394
27-3,上草柳９−１９,子安３号公園,35.4787925,139.4467187
27-4,上草柳９−３,子安ちびっこ広場北側,35.4774006,139.448897
27-5,上草柳９−１１−２０,子安児童館東側,35.4784959,139.4495188
27-6,上草柳９−１０,子安２号公園北西側,35.4789542,139.4488865
27-7,上草柳８−２４,つる・る公園,35.4802025,139.4501028
28-1,中央林間西１−１５,オーキュー印刷（有）東側植栽内,35.4975597,139.4439627
